"","B cell","Dendritic cell","Macrophage","Neutrophil","T cell","Basophil","Monocyte","NK cell"
"Themis",0,0,0,0,5.6724253419715,1.95059140673861,0,3.63558857379112
"Tlr13",0,0,4.50710518018993,0,0,0,6.07249906871707,2.74723392962003
"Tlr5",0,0,0,0,0,0,0,0
"Tnfrsf13c",6.17848701494574,3.99325527036666,0,0,0,0,2.70594736231395,4.88613203544172
"Tnfrsf18",0,4.54770027401481,2.2088881569867,0,7.38945208908437,4.74351311626598,0,6.33985000288462
"Tnip3",0,8.36351369821486,4.50710518018993,6.28397874066005,0,0,0,0
"Tpsb2",0,0,0,0,0,0,0,0
"Tpsg1",0,0,0,0,0,0,0,0
"Trac",0,4.54770027401481,0,0,9.34651373316563,0,0,6.65821148275179
"Xlr4b",0,0,2.2088881569867,0,4.14295795384205,1.95059140673861,4.13541876945631,2.74723392962003
"Zap70",0,0,0,0,6.08037341646402,1.95059140673861,0,6.28804210073495
"9830107B12Rik",0,0,0,7.27469173878025,0,6.29211723603162,2.70594736231395,0
"A530030E21Rik",0,0,0,0,0,0,0,3.93411206434354
"A930002I21Rik",0,0,0,0,0,0,0,0
"Arhgef37",0,0,2.2088881569867,0,0,0,0,1.94753258010587
"Camp",0,0,0,0,0,15.7731649689011,4.52978644096093,0
"Cd40lg",0,0,0,0,0,0,0,1.94753258010587
"Cebpe",0,0,0,0,0,10.1602073492987,6.56868050176304,3.63558857379112
"Gfi1b",0,0,0,0,0,1.95059140673861,3.59092816755755,0
"Gm13814",0,0,0,0,0,0,0,0
"Gm16194",0,0,0,0,0,2.75074777180255,0,0
"Gm43291",0,0,2.2088881569867,0,0,2.75074777180255,0,4.18132976471456
"Ngp",0,0,0,0,0,16.1022744962907,3.59092816755755,4.57634937041645
"Pax5",0,0,2.2088881569867,0,0,0,3.59092816755755,4.88613203544172
"Prg2",6.75679456792813,0,0,0,0,5.86558705198419,5.31012316009295,1.94753258010587
"5730522E02Rik",0,0,0,0,0,0,0,0
"Ccr6",0,0,0,0,0,0,0,0
"Clec4a4",0,0,0,0,0,0,2.70594736231395,1.94753258010587
"Ear6",0,0,0,0,0,2.75074777180255,3.59092816755755,2.74723392962003
"Epx",0,0,0,0,0,1.95059140673861,4.13541876945631,1.94753258010587
"Gzmk",0,0,0,0,5.6724253419715,0,0,2.74723392962003
"Tmigd3",0,0,0,0,0,0,0,0
"Tlr8",0,0,0,0,0,0,0,0
"4930430E12Rik",0,0,0,0,0,0,0,0
"Muc6",0,0,0,0,0,0,0,0
"Fer1l5",0,0,0,0,0,0,0,0
"Tph1",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
"Gm11695",0,0,0,0,0,0,0,0
"Gm6209",0,0,0,0,0,0,0,0
"Gm13817",0,0,0,0,0,0,0,0
"Gm8221",0,0,0,0,0,0,0,0
