"","B cell","Dendritic cell","Macrophage","Neutrophil","NK cell","T cell","Basophil","Monocyte"
"2010016I18Rik",0,2.15324626029568,0,0,0,0,0,0
"A630023P12Rik",0,0,1.1201587630344,0,0,3.08746284125034,0,0
"AI839979",0,3.26614031670161,1.74304864621805,5.86153006220864,0,2.58496250072116,5.45877381922605,7.56106109761186
"Adgre1",7.62438620531984,7.04477094972259,9.80570350977753,7.65105169117893,5.90264112260716,7.23840473932508,2.75074777180255,5.9489157173668
"Alox15",0,2.15324626029568,3.53149129227312,4.88613203544172,0,0,0,0
"Blk",5.45762007248117,2.62583478213668,2.17668236761762,0,0,0,1.95059140673861,0
"Bmx",0,1.44579975304953,0,0,0,0,4.58030446784311,5.09377866262286
"Btla",5.81287614977177,6.05565643292153,4.05740281143019,0,0,4.39231742277876,1.95059140673861,4.83916898116688
"C1rl",2.83490722724214,1.44579975304953,3.43040674174685,0,0,2.58496250072116,6.06398991629681,5.9489157173668
"Ccl22",5.24068892153753,8.38266129059168,5.20920926511809,0,0,3.75488750216347,0,0
"Ccl4",7.27028815974183,9.47440527205403,9.56389893975999,9.36225696054661,9.96722625883599,9.0389189892923,7.57070387506318,4.83916898116688
"Ccl5",7.62438620531984,8.17458136387354,7.28836607256391,8.42566550441689,11.200862553435,11.3600240195719,5.45877381922605,4.52978644096093
"Ccr3",0,3.26614031670161,3.95193680320475,4.88613203544172,0,2.58496250072116,1.95059140673861,0
"Ccr7",9.20446612987007,9.79872317333004,6.51373686160826,6.84906994122017,5.90264112260716,7.23840473932508,1.95059140673861,0
"Cd163l1",0,0,0,0,0,2.58496250072116,0,0
"Cd177",3.7300897957309,2.15324626029568,2.17668236761762,7.16849304594918,0,0,10.405461522507,5.8137457654895
"Cd19",7.27028815974183,3.70807304304352,3.14155150666638,4.88613203544172,0,1.8073549220576,2.75074777180255,0
"Cd200r3",0,1.44579975304953,0,0,0,0,5.54983154813583,2.70594736231395
"Cd200r4",2.83490722724214,1.44579975304953,3.79813329073544,0,5.90264112260716,5.35755200461808,3.26243143449706,2.70594736231395
"Cd22",5.81287614977177,1.44579975304953,4.30592258033642,0,0,3.08746284125034,0,0
"Cd27",3.7300897957309,3.26614031670161,3.43040674174685,0,6.89053252736262,6.82654848729092,3.9379702621365,3.59092816755755
"Cd300ld",6.53953944432464,6.05565643292153,8.90533285594093,7.65105169117893,0,6.91886323727459,3.9379702621365,3.59092816755755
"Cd3d",6.22148333825434,6.26419990613218,5.68564540186323,6.43819778419808,6.89053252736262,8.61102479730735,3.26243143449706,2.70594736231395
"Cd3e",0,3.50396277860767,3.32170230334752,0,0,5.8703647195834,0,0
"Cd3g",3.7300897957309,5.5181443941486,4.99583127719289,4.88613203544172,9.20270003753393,8.61102479730735,3.9379702621365,0
"Cd4",0,4.43893521175172,3.07612975044275,0,0,4.70043971814109,0,0
"Cd40",5.81287614977177,4.92173836001583,5.51099162605993,0,0,4,0,4.13541876945631
"Cd5",2.83490722724214,3.26614031670161,2.17668236761762,4.88613203544172,5.90264112260716,4.70043971814109,0,0
"Cd6",2.83490722724214,3.50396277860767,3.57949595518733,5.86153006220864,6.89053252736262,7.11374216604919,0,0
"Cd7",5.64615558773976,7.28699582892254,5.43474567747119,5.86153006220864,8.88138391764596,8.64745842645492,5.02319433556088,5.8137457654895
"Cd79a",8.17663971521083,2.62583478213668,2.85992600990284,0,0,3.08746284125034,5.14502337300783,5.49821559855321
"Cd79b",8.55164339687936,3.88685284237198,5.06490929235527,4.88613203544172,0,4.55458885167764,4.74351311626598,5.66458969898141
"Cd83",7.43278524731186,9.60151466217369,9.67854090495797,4.88613203544172,5.90264112260716,6.33985000288462,0,2.70594736231395
"Cd8a",2.83490722724214,5.6724253419715,3.62595460128283,0,0,6.24792751344359,0,0
"Cd8b1",2.83490722724214,5.34536700785219,3.14155150666638,5.86153006220864,5.90264112260716,5.16992500144231,2.75074777180255,3.59092816755755
"Clec2g",2.83490722724214,0,0.476367487882775,0,0,0,0,0
"Clec4a3",5.45762007248117,5.28284877564543,8.16093665917959,5.86153006220864,5.90264112260716,5.93073733756289,1.95059140673861,7.00080929625336
"Clec4e",6.53953944432464,5.93886980013959,6.82381074525985,9.29822625921983,0,5.52356195605701,6.1825579883989,4.13541876945631
"Clec5a",0,1.44579975304953,3.00759981585816,0,0,1.8073549220576,7.40985287474539,6.6502980459787
"Cma1",0,2.15324626029568,1.1201587630344,0,7.88443990479513,1.8073549220576,0,0
"Ctsw",5.45762007248117,5.62280920596824,4.68076808747216,0,8.88138391764596,8.3264294871223,0,0
"Cxcl2",8.11412554715494,8.17458136387354,11.5357218346986,10.509916354941,6.89053252736262,8.14720492494223,3.63938476725441,0
"Cxcl3",4.67467968890914,5.07718405447612,5.57158945999186,6.43819778419808,0,4.20945336562895,0,0
"Cxcr2",2.83490722724214,1.44579975304953,1.56373486544137,6.43819778419808,0,0,6.34392699889581,3.59092816755755
"Cxcr6",4.27834968628631,4.74749852293409,4.6360685877924,0,6.89053252736262,8.04165915163721,0,0
"Dpep2",0,2.98122279296937,2.85992600990284,0,0,0,0,4.52978644096093
"Ear1",0,0,0,8.42566550441689,0,0,1.95059140673861,3.59092816755755
"Ear2",5.64615558773976,5.85540551980946,7.89772712103102,6.43819778419808,0,5.16992500144231,6.77981811141087,7.33289581610316
"F630040K05Rik",0,0,0,0,0,0,0,0
"F730016J06Rik",0,0,0,0,0,0,3.63938476725441,0
"Fcer1a",0,0,0.833879910761118,4.88613203544172,0,0,6.00083943319059,0
"Fcer2a",5.24068892153753,0,2.17668236761762,0,0,3.08746284125034,1.95059140673861,0
"Fcgr4",7.08713740418666,5.81178989339794,8.45918144976091,7.42985503869741,5.90264112260716,6.54689445988764,5.36157935049781,0
"Fcmr",8.23655717913039,2.62583478213668,3.20413483724033,4.88613203544172,0,2.58496250072116,3.63938476725441,2.70594736231395
"Fcrl1",5.24068892153753,3.88685284237198,3.98795562631014,0,0,3.08746284125034,2.75074777180255,2.70594736231395
"G430095P16Rik",0,2.98122279296937,0.833879910761118,0,0,1.8073549220576,1.95059140673861,5.09377866262286
"Gapt",0,3.70807304304352,1.74304864621805,4.88613203544172,0,0,6.44227813378092,7.42853368964583
"Gm13986",0,0,0,0,0,0,2.75074777180255,2.70594736231395
"Gm20324",2.83490722724214,1.44579975304953,2.04610351437928,0,0,1.8073549220576,1.95059140673861,0
"Gm5544",0,1.44579975304953,0,0,0,0,0,0
"Gm8113",0,0,3.00759981585816,5.86153006220864,0,2.58496250072116,0,2.70594736231395
"Gm9733",0,1.44579975304953,2.50965421489467,0,0,1.8073549220576,4.39624901000793,4.83916898116688
"Gzma",7.43278524731186,7.78113356805184,7.19129288798031,7.42985503869741,12.8897388089109,10.3145832442742,2.75074777180255,2.70594736231395
"Gzmb",3.7300897957309,6.38816577950829,6.15830743956195,9.08708393250466,10.6341170232732,9.44811630540946,0,0
"H2-Eb2",5.45762007248117,4.18914291698645,1.1201587630344,0,0,0,0,0
"I830127L07Rik",5.45762007248117,0,2.78000443391265,6.43819778419808,0,3.08746284125034,10.8835995485012,10.7099739316783
"Ifi205",0,6.23146948598833,6.06864793708794,4.88613203544172,0,2.58496250072116,0,3.59092816755755
"Ifitm6",4.67467968890914,5.81178989339794,6.46345401709137,8.01202586880699,0,4.95419631038687,10.7769113800019,8.25203809417317
"Il4",0,2.62583478213668,2.93565156906114,4.88613203544172,5.90264112260716,6.97727992349992,3.26243143449706,0
"Il9r",2.83490722724214,0,0.833879910761118,0,5.90264112260716,0,0,0
"Itga2b",0,2.98122279296937,0.833879910761118,4.88613203544172,0,1.8073549220576,3.9379702621365,0
"Itgam",4.27834968628631,4.54928676911716,4.96001099926336,6.84906994122017,0,1.8073549220576,8.69211836134288,7.06174040062687
"Itgax",2.83490722724214,7.73517666297543,6.12634496697026,7.42985503869741,7.47143613989636,5.59991284218713,1.95059140673861,3.59092816755755
"Izumo1r",0,2.62583478213668,1.74304864621805,0,0,5.6724253419715,1.95059140673861,0
"Klra13-ps",3.7300897957309,0,1.74304864621805,0,7.47143613989636,3.08746284125034,0,0
"Klra7",2.83490722724214,2.62583478213668,2.17668236761762,4.88613203544172,0,4.20945336562895,0,0
"Klra8",0,0,2.04610351437928,0,0,5.06608919045777,0,0
"Klrc1",2.83490722724214,3.70807304304352,4.56631017048567,4.88613203544172,7.88443990479513,6.7279204545632,1.95059140673861,0
"Klrd1",3.7300897957309,7.25478428675774,4.82713518112777,5.86153006220864,8.88138391764596,7.4594316186373,0,3.59092816755755
"Klre1",4.98526572853028,4.43893521175172,3.53149129227312,0,8.46736580017951,6.7279204545632,0,0
"Klrg1",0,1.44579975304953,0,0,5.90264112260716,4.83289001416474,0,0
"Klri2",2.83490722724214,2.15324626029568,2.04610351437928,0,6.89053252736262,4.55458885167764,0,0
"Klrk1",3.7300897957309,6.65821148275179,6.03461170231366,5.86153006220864,8.20514638151396,6.85798099512757,0,2.70594736231395
"Lck",4.67467968890914,4.83724729636818,4.15568133678314,4.88613203544172,8.68917580582325,7.82017896241519,3.63938476725441,0
"Ly6g",0,1.44579975304953,0,4.88613203544172,0,0,9.40347600884886,6.87063719610169
"Lyz1",0,3.50396277860767,4.33418059437296,0,0,3.08746284125034,4.39624901000793,4.13541876945631
"Mcemp1",3.7300897957309,5.81178989339794,4.61318852437018,8.30051599222201,0,4.55458885167764,9.52628342479592,8.40095018032428
"Mfsd7a",0,0,2.17668236761762,0,0,0,0,5.09377866262286
"Mmp25",0,2.15324626029568,0.476367487882775,0,0,0,4.74351311626598,0
"Ms4a2",0,0,0,0,0,0,5.71633059328279,0
"Ms4a4b",4.98526572853028,5.57142574638641,5.11463031687264,0,9.78684616756858,8.75988818322183,3.9379702621365,5.8137457654895
"Mzb1",10.3796906394454,4.92173836001583,3.98795562631014,5.86153006220864,0,4,2.75074777180255,2.70594736231395
"Ncr1",2.83490722724214,2.98122279296937,1.56373486544137,4.88613203544172,5.90264112260716,4.55458885167764,0,0
"Nkg7",5.9623105571784,6.1636930477308,6.15830743956195,6.43819778419808,10.9234585779402,9.55266909751427,7.95080862346928,6.80086415646931
"Nudt17",0,5.40528820524509,1.90251901750934,4.88613203544172,0,1.8073549220576,0,2.70594736231395
"Olr1",0,2.98122279296937,2.85992600990284,0,0,0,5.25736082416071,0
"Padi4",0,0,1.35892801815247,0,0,0,6.57827265487946,5.09377866262286
"Prf1",4.67467968890914,1.44579975304953,2.406971800537,0,8.68917580582325,6.58496250072116,0,0
"Prg3",0,1.44579975304953,1.56373486544137,7.84279929161749,0,1.8073549220576,3.9379702621365,3.59092816755755
"Prss57",2.83490722724214,1.44579975304953,0,0,0,1.8073549220576,7.05316736574822,5.09377866262286
"Rab44",2.83490722724214,2.62583478213668,2.50965421489467,5.86153006220864,0,0,7.08396310996745,5.9489157173668
"Rasgrp4",2.83490722724214,4.65179400919937,3.43040674174685,4.88613203544172,0,2.58496250072116,7.40985287474539,6.87063719610169
"Retnlg",6.71828597552399,7.46648086084974,7.22563930393239,11.892163309862,5.90264112260716,7.06069593168755,3.26243143449706,7.56106109761186
"Rgs18",0,3.50396277860767,1.56373486544137,0,0,0,6.23837736292839,5.31012316009295
"Sh2d1a",2.83490722724214,3.26614031670161,3.07612975044275,0,7.47143613989636,6.14974711950468,0,0
"Sh2d2a",6.22148333825434,6.09257490191994,5.47337228975529,4.88613203544172,9.87985349313533,9.04575966138268,0,2.70594736231395
"Siglecf",2.83490722724214,2.98122279296937,2.04610351437928,0,0,1.8073549220576,3.26243143449706,3.59092816755755
"Skint3",0,2.98122279296937,2.78000443391265,0,0,0,0,2.70594736231395
"Slamf8",5.45762007248117,5.81178989339794,6.18182300518704,5.86153006220864,0,4.20945336562895,1.95059140673861,4.13541876945631
"Spib",6.22148333825434,6.05565643292153,3.20413483724033,4.88613203544172,0,4,4.18523043637647,5.09377866262286
"Tal1",0,1.44579975304953,2.50965421489467,4.88613203544172,0,1.8073549220576,1.95059140673861,0
"Tarm1",0,3.26614031670161,2.6953944122833,4.88613203544172,0,0,2.75074777180255,0
"Tcf7",2.83490722724214,3.26614031670161,2.6953944122833,4.88613203544172,5.90264112260716,6.38370429247405,1.95059140673861,0
"Tgtp2",6.33547255875892,6.35815856129756,6.76793574497172,5.86153006220864,5.90264112260716,6.04439411935845,0,3.59092816755755
"Themis",0,0,1.35892801815247,0,0,4.39231742277876,1.95059140673861,0
"Tlr13",3.7300897957309,4.0459008506086,5.70741314395781,6.43819778419808,0,2.58496250072116,0,6.07249906871707
"Tlr5",0,0,0.476367487882775,0,0,0,0,0
"Tnfrsf13c",6.63167922560064,3.50396277860767,2.406971800537,0,0,0,0,2.70594736231395
"Tnfrsf18",3.7300897957309,4.74749852293409,3.14155150666638,0,6.89053252736262,7.06069593168755,4.74351311626598,0
"Tnip3",4.98526572853028,6.96737534635176,4.6360685877924,0,0,2.58496250072116,0,0
"Tpsb2",0,0,0.476367487882775,0,0,0,0,0
"Tpsg1",0,0,0,0,0,0,0,0
"Trac",5.45762007248117,5.6724253419715,5.06490929235527,5.86153006220864,9.05096896502651,8.90989308377004,0,0
"Xlr4b",2.83490722724214,3.70807304304352,2.6953944122833,0,5.90264112260716,4.83289001416474,1.95059140673861,4.13541876945631
"Zap70",4.27834968628631,4.54928676911716,3.83814847626663,0,0,6.97727992349992,1.95059140673861,0
"9830107B12Rik",0,1.44579975304953,0.833879910761118,4.88613203544172,0,0,6.29211723603162,2.70594736231395
"A530030E21Rik",3.7300897957309,2.15324626029568,0.833879910761118,0,0,0,0,0
"A930002I21Rik",2.83490722724214,0,0,0,0,0,0,0
"Arhgef37",0,0,0.476367487882775,0,0,0,0,0
"Camp",4.67467968890914,4.74749852293409,4.70260898905304,12.1943611317199,0,4.83289001416474,15.7731649689011,4.52978644096093
"Cd40lg",0,1.44579975304953,0,0,5.90264112260716,3.4594316186373,0,0
"Cebpe",0,0,0,4.88613203544172,0,0,10.1602073492987,6.56868050176304
"Gfi1b",0,1.44579975304953,1.35892801815247,0,0,0,1.95059140673861,3.59092816755755
"Gm13814",2.83490722724214,0,0,0,0,0,0,0
"Gm16194",0,0,0,0,0,0,2.75074777180255,0
"Gm43291",4.98526572853028,0,0.476367487882775,0,0,0,2.75074777180255,0
"Ngp",6.22148333825434,5.28284877564543,5.0307836878398,12.5509872145215,0,4.70043971814109,16.1022744962907,3.59092816755755
"Pax5",6.09770902161585,0,1.1201587630344,0,0,0,0,3.59092816755755
"Prg2",4.67467968890914,2.98122279296937,3.75697648784729,10.5653741309806,0,3.4594316186373,5.86558705198419,5.31012316009295
"5730522E02Rik",0,0,0,0,0,0,0,0
"Ccr6",3.7300897957309,2.15324626029568,0,0,0,1.8073549220576,0,0
"Clec4a4",0,1.44579975304953,0.833879910761118,0,0,0,0,2.70594736231395
"Ear6",0,0,1.90251901750934,7.16849304594918,0,0,2.75074777180255,3.59092816755755
"Epx",0,0,0.476367487882775,7.42985503869741,0,2.58496250072116,1.95059140673861,4.13541876945631
"Gzmk",0,0,1.35892801815247,0,0,2.58496250072116,0,0
"Tmigd3",0,1.44579975304953,1.1201587630344,0,0,0,0,0
"Tlr8",0,0,0.476367487882775,0,0,0,0,0
"4930430E12Rik",0,0,1.90251901750934,0,0,0,0,0
"Muc6",0,0,0,0,0,0,0,0
"Fer1l5",0,0,0,0,0,0,0,0
"Tph1",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
"Gm11695",0,0,0,0,0,0,0,0
"Gm6209",0,0,0,0,0,0,0,0
"Gm13817",0,0,0,0,0,0,0,0
"Gm8221",0,0,0.476367487882775,0,0,0,0,0
