"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"Klrk1",2.70981102863803,3.52685954615759,5.50603203149944,5.74501082272223,0,9.71847022601352,4.93779613768665,0
"Lck",8.21874297893099,7.79475785877576,6.49007089098767,7.53302228530608,8.2336196767597,9.00336364708807,9.74053540473005,3.63938476725441
"Ly6g",2.70981102863803,0,0,0,8.96866679319521,0,1.23125353197806,9.40347600884886
"Lyz1",0.84138194547934,0,6.49007089098767,7.05070789329065,6.65821148275179,0,1.23125353197806,4.39624901000793
"Mcemp1",3.93090586029734,7.31192752807004,7.65105169117893,7.05070789329065,9.23122118071119,0,3.55847228616487,9.52628342479592
"Mfsd7a",0,0,0,4.77166321491429,0,0,0,0
"Mmp25",0,0,0,0,5.6724253419715,0,0,4.74351311626598
"Ms4a2",0,0,0,0,7.65105169117893,0,0,5.71633059328279
"Ms4a4b",8.5738270623202,8.40020533220907,8.28591590768409,8.30738058795774,7.97154355395077,10.7280241881095,10.6493651335302,3.9379702621365
"Mzb1",9.49011166078224,7.31192752807004,6.49007089098767,7.53302228530608,7.23840473932508,7.07837864708551,6.9964411304066,2.75074777180255
"Ncr1",3.8539972270875,4.46287892025577,4.53743413063857,0,0,9.54090767581602,2.95206223858638,0
"Nkg7",7.98174691655591,7.49143119398981,7.48202360928114,8.52912227499525,9.10590850857116,11.6143170709672,9.6047904756327,7.95080862346928
"Nudt17",0,5.42979212819742,0,0,0,0,1.88573747915842,0
"Olr1",0,0,0,0,0,0,0,5.25736082416071
"Padi4",2.05903075570522,0,0,6.3209786410585,8.45532722030456,3.72193277920873,1.88573747915842,6.57827265487946
"Prf1",3.77275665660722,4.46287892025577,4.53743413063857,4.77166321491429,0,8.19811558722264,4.73370515502903,0
"Prg3",0,0,0,0,0,0,0,3.9379702621365
"Prss57",1.75501441617638,0,4.53743413063857,0,7.23840473932508,0,0,7.05316736574822
"Rab44",0.84138194547934,0,0,4.77166321491429,7.23840473932508,0,1.23125353197806,7.08396310996745
"Rasgrp4",3.1566646089935,6.22273136061697,6.08037341646402,5.74501082272223,7.65105169117893,0,3.18368553536341,7.40985287474539
"Retnlg",7.01419942321004,7.10687283090701,7.29053089486733,7.53302228530608,12.5144675028193,6.79124231680626,6.69245336693742,3.26243143449706
"Rgs18",4.26383139935876,6.5810023142079,0,4.77166321491429,7.65105169117893,0,1.88573747915842,6.23837736292839
"Sh2d1a",4.71899174735584,3.52685954615759,4.53743413063857,0,0,7.86237276424473,6.72957035948755,0
"Sh2d2a",5.45138733799272,3.52685954615759,0,0,0,7.20301966661847,6.78351454546489,0
"Siglecf",0.84138194547934,0,0,0,5.6724253419715,0,1.23125353197806,3.26243143449706
"Skint3",0,3.52685954615759,4.53743413063857,0,0,0,1.23125353197806,0
"Slamf8",2.30999923981722,6.73149768188789,5.50603203149944,4.77166321491429,0,0,1.88573747915842,1.95059140673861
"Spib",8.17988151756349,7.40446934803409,5.50603203149944,7.05070789329065,5.6724253419715,5.2320991418967,5.50698249239783,4.18523043637647
"Tal1",0.84138194547934,0,4.53743413063857,0,0,0,0,1.95059140673861
"Tarm1",0,0,0,0,0,0,0,2.75074777180255
"Tcf7",5.45138733799272,5.42979212819742,4.53743413063857,5.74501082272223,5.6724253419715,6.43238912377283,8.04331844341061,1.95059140673861
"Tgtp2",5.0644686350439,5.42979212819742,0,0,0,6.21277809641271,6.85243907247949,0
"Themis",3.77275665660722,3.52685954615759,0,0,0,3.72193277920873,5.22450880234472,1.95059140673861
"Tlr13",0.84138194547934,4.46287892025577,6.80878545766404,6.3209786410585,5.6724253419715,0,2.95206223858638,0
"Tnfrsf13c",7.516536016855,3.52685954615759,5.50603203149944,6.3209786410585,0,6.43238912377283,4.80499201236275,0
"Tnfrsf18",5.81822667448459,5.02586808577068,5.50603203149944,0,5.6724253419715,6.21277809641271,6.44713893667953,4.74351311626598
"Tnip3",0.84138194547934,0,0,0,0,0,0,0
"Trac",7.75200248696616,7.21304024912684,6.49007089098767,5.74501082272223,7.97154355395077,6.79124231680626,9.85832875414611,0
"Xlr4b",4.99452812737226,4.46287892025577,0,0,0,4.66620234868133,5.17154436971301,1.95059140673861
"Zap70",4.99452812737226,3.52685954615759,6.49007089098767,4.77166321491429,0,6.62294463156538,6.8691677105615,1.95059140673861
"9830107B12Rik",0.84138194547934,0,0,0,6.65821148275179,0,0,6.29211723603162
"A530030E21Rik",5.16340566435451,5.42979212819742,0,0,0,0,2.33431846661998,0
"A930002I21Rik",1.75501441617638,0,0,0,0,0,1.23125353197806,0
"Arhgef37",0.84138194547934,0,0,0,0,0,0,0
"Camp",7.73064963619244,7.40446934803409,7.06967352780681,8.30738058795774,15.2099482932759,8.00617211350101,7.57763240874347,15.7731649689011
"Cd40lg",0,0,0,0,0,0,3.55847228616487,0
"Cebpe",2.87462487446592,3.52685954615759,0,0,9.64565843240871,0,1.23125353197806,10.1602073492987
"Gfi1b",0,0,0,0,0,0,1.88573747915842,1.95059140673861
"Gm13814",0,0,0,0,0,0,1.23125353197806,0
"Gm43291",6.22176505284028,4.46287892025577,4.53743413063857,0,0,3.72193277920873,3.98411516472716,2.75074777180255
"Ngp",7.29441701643042,7.40446934803409,6.80878545766404,7.05070789329065,15.2080437953743,7.07837864708551,7.30999413682677,16.1022744962907
"Pax5",6.60874135990147,0,4.53743413063857,4.77166321491429,0,5.2320991418967,3.71472689121965,0
"Prg2",4.37810517922486,0,0,0,0,0,1.88573747915842,5.86558705198419
"Ccr6",4.76172493221702,0,0,0,0,0,3.18368553536341,0
"Clec4a4",3.0225259657015,6.5810023142079,0,0,5.6724253419715,0,1.23125353197806,0
"Ear6",0,0,0,0,0,0,1.23125353197806,2.75074777180255
"Epx",0.84138194547934,0,0,0,0,0,0,1.95059140673861
"Gzmk",1.75501441617638,0,0,0,0,0,4.1020287454854,0
"Tmigd3",0,4.46287892025577,0,0,0,0,0,0
"Gm6209",0,0,0,0,0,0,0,0
"Gm8221",0,0,0,0,0,0,0,0
