"","Mast.cells","Neutrophils","Eosinophils","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.activated","Dendritic.cells.resting","B.cells.memory","B.cells.naive","Plasma.cells","T.cells.CD4.naive","T.cells.CD4.memory","T.cells.follicular.helper","Tregs","T.cells.CD4.activated","T.cells.CD8","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated"
"GSM494796",8.118013,0,0,0,48.3216518,1.3575472,23.1417612,0,1.2385972,0.9078935,2.0204954,0.0516038,0,0,3.8260215,2.9207446,0,5.5541745,0.2617548,0,2.2797415
"GSM494797",4.7018756,0.2474838,0,0,51.8983148,1.6853976,16.420609,0,1.650969,2.2870646,1.921645,0.4495949,0,0,4.9211994,1.9504344,0,7.0675173,0,0,4.7978946
"GSM494798",9.3778233,0,0,0.1634147,35.1525905,2.5030813,23.6033034,0,0.4970865,6.3887871,0.5249384,0.7596519,0,0,3.6283847,3.164092,0,6.5248782,0.9795424,0,6.7324257
"GSM494799",10.5670423,0,0,0,25.6147302,4.5009256,25.5747018,0,0,9.2097744,0,0.3153093,0,1.8530568,1.0773608,3.7098057,0,8.1699104,0,0,9.4073826
"GSM494800",13.0112237,0,0,1.8116796,4.3985549,6.0560005,30.0025587,0,0.729573,3.7670969,5.6522105,0,0,0,3.9489769,1.316598,0,13.8458908,2.5729514,0,12.8866851
"GSM494801",6.8748935,0,0,0,40.3198705,2.4744983,25.9413209,0,0.3960526,1.0885436,3.0356969,1.0852501,0,0,2.4888001,4.2800748,0,7.3645855,2.4909511,0,2.1594619
"GSM494802",3.6896877,0,0,0,50.4760515,2.0724495,25.9241407,0,1.6885005,0,3.3216391,0.5326288,0,0,3.2655573,3.4541729,0,0.7675151,1.736098,0,3.0715589
