GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM513406,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM513408,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM513412,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM513414,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM513416,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM513418,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM513420,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM1249689,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM1249692,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM1249694,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM535997,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM535998,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM536001,Breast,Breast,,Breast,Control,Control,,Control,Genotype unknown
GSM69792,Embryo,Embryonic liver,E18.5 liver,E18.5 liver,Control,Control,,Control,Genotype unknown
GSM69793,Embryo,Embryonic liver,E18.5 liver,E18.5 liver,Control,Control,,Control,Genotype unknown
GSM69794,Embryo,Embryonic liver,E18.5 liver,E18.5 liver,Control,Control,,Control,Genotype unknown
GSM277580,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM277581,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM277582,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM277583,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM1404616,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM1404617,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM1404618,Lung,Lung,,Lung,Control,Control,,Control,Wild type
GSM1404628,Lung,Lung,,Lung,Control,Control,,Control,Notch3 KO
GSM1404629,Lung,Lung,,Lung,Control,Control,,Control,Notch3 KO
GSM1404630,Lung,Lung,,Lung,Control,Control,,Control,Notch3 KO
GSM1404640,Lung,Lung,,Lung,Control,Control,,Control,Notch4 KO
GSM1404641,Lung,Lung,,Lung,Control,Control,,Control,Notch4 KO
GSM1404642,Lung,Lung,,Lung,Control,Control,,Control,Notch4 KO
GSM238457,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM238458,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM238459,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM363531,Lung,Lung,,Lung,Control,Control,,Control,nmMLCK KO
GSM363532,Lung,Lung,,Lung,Control,Control,,Control,nmMLCK KO
GSM363533,Lung,Lung,,Lung,Control,Control,,Control,nmMLCK KO
GSM363534,Lung,Lung,,Lung,Control,Control,,Control,nmMLCK KO
GSM363535,Lung,Lung,,Lung,Control,Control,,Control,nmMLCK KO
GSM363536,Lung,Lung,,Lung,Control,Control,,Control,nmMLCK KO
GSM488185,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488186,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488187,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488194,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488195,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488196,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488200,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488201,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM488202,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM554419,Lung,Lung,,Lung,Control,Control,,Control,FGF18 transgenic
GSM554421,Lung,Lung,,Lung,Control,Control,,Control,FGF18 transgenic
GSM554422,Lung,Lung,,Lung,Control,Control,,Control,FGF18 transgenic
GSM69246,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69247,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69248,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69249,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69250,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69251,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69258,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
GSM69259,Lung,Lung,,Lung,Control,Control,,Control,Genotype unknown
