GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM711834,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM172395,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172396,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172397,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172398,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172399,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172400,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172401,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM172402,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM760488,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM83873,Brain,Brain hemisphere,,Brain hemisphere,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM516264,Brain,Brain stem,,Brain stem,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM516266,Brain,Brain stem,,Brain stem,Disease unknown,Disease unknown,,Disease unknown,A53T-SNCA overexpression
GSM516285,Brain,Brain stem,,Brain stem,Disease unknown,Disease unknown,,Disease unknown,A53T-SNCA overexpression
GSM516288,Brain,Brain stem,,Brain stem,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM516291,Brain,Brain stem,,Brain stem,Disease unknown,Disease unknown,,Disease unknown,A53T-SNCA overexpression
GSM516294,Brain,Brain stem,,Brain stem,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1863850,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863853,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863855,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863856,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863858,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863861,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863862,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863863,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863864,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863865,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863866,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863867,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863868,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863869,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863874,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863875,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863876,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863877,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863878,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863879,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863880,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863881,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863882,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863883,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863884,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863885,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863886,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863887,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863888,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863889,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863890,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863891,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863892,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863893,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863895,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1863896,Brain,Central nucleus of the amygdala,,Central nucleus of the amygdala,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM205936,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205937,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205940,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205941,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205944,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205946,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205947,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205948,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205949,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Prosaposin KO
GSM205950,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205951,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205956,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205957,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205960,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205961,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205962,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205963,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205964,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,PS-NA
GSM205979,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205981,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205987,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205992,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205993,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205995,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205996,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205997,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM205998,Brain,Cerebellum,Cerebellum,Cerebellum,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2283909,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Apoe KO
GSM2283910,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Apoe KO
GSM2283911,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Apoe KO
GSM2283912,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Apoe KO
GSM2283913,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2283914,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2283915,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2283916,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2283917,Brain,Choroid plexus,Choroid plexus,Choroid plexus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1130187,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1130188,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1130189,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1130190,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1130191,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1130192,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193015,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193016,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193019,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193023,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193029,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193035,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193044,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193055,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193059,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193060,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193065,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193066,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193074,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193076,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1193079,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193082,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1193085,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM149513,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149514,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149516,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149517,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149520,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149523,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149544,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149547,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149548,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149550,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149551,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149552,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149554,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149555,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149557,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149558,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149559,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149560,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149561,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149562,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149565,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149566,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149567,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149568,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM149575,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1698231,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,EGFP-L10 transgenic
GSM1698232,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,EGFP-L10 transgenic
GSM1698236,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,EGFP-L10 transgenic
GSM567030,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM567032,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM567034,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM658257,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM658258,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM658259,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM658264,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Fmr1 KO
GSM658265,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Fmr1 KO
GSM658271,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM658273,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM658276,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Fmr1 KO
GSM658277,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Fmr1 KO
GSM658279,Brain,Cortex,Cerebral cortex,Cerebral cortex,Disease unknown,Disease unknown,,Disease unknown,Fmr1 KO
GSM1375317,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1375318,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1375319,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1375320,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709716,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709736,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709737,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709749,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709751,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709754,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM709758,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931867,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931868,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931876,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931889,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931890,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931891,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931892,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931901,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931905,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931908,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931909,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931911,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931918,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931919,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931927,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931929,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931932,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931936,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931940,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931941,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931942,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931945,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931947,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931956,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931957,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931958,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931964,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931971,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931973,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931975,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931982,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931983,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931984,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931985,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931998,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2931999,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2932008,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM2932009,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM414519,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM414520,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517455,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517456,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517457,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517458,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517459,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517460,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517461,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517462,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517463,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM1517464,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240416,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240417,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240418,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240419,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240420,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240421,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240422,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240423,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240424,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240425,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM240426,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3031760,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM3031761,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,Genotype unknown
GSM326527,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,HtrA2 KO
GSM326528,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,HtrA2 KO
GSM326529,Brain,Cortex,Cortex,Cortex,Disease unknown,Disease unknown,,Disease unknown,HtrA2 KO
