"","GSM2460692","GSM2460693","GSM2460694","GSM2460695","GSM2460696"
"Optn",9.0956359441399,9.55547139540012,9.64559828592061,9.76409934153832,9.44140667189789
"Bcap31",10.7379795384063,10.0372869120762,10.4666283430722,10.6246296038867,11.310027545717
"Nampt",12.0111460499908,9.11317739643166,8.75472369142336,9.80228750542801,10.0520056743941
"Cela3a",4.98096161205485,5.0434536851041,5.37539524907425,4.92083219561516,5.13739816896507
"Rbm12",7.43870214023027,7.95097371040174,7.88380335999623,7.57627271664383,7.92315189746677
"Yaf2",4.78078709586772,4.90200207523552,4.84817559034703,4.95943703456903,4.83156174903704
"Arfrp1",6.4956215433582,6.00629148690234,6.03272647715191,6.5482986546726,6.27765734480319
"Cdh16",4.87135659287016,4.48225120466256,4.41108865901017,4.41430752639286,4.69220700095921
"Tob1",10.1798529147166,10.2485744851537,10.159698980645,10.9116294269383,10.5936296703564
"Linc01587",3.61939871881331,3.83316154613405,4.087230036643,3.66256607448694,3.57155874217383
"Akap9",8.45672831003227,9.19450507413704,9.02628418234359,8.8650828535184,8.78318728628287
"Fam13a",6.5729719897327,7.15718916012068,7.21462182030631,6.39758520602436,7.46438250416982
"G3bp1",6.18023914523009,6.5241546994137,6.58780674353581,6.71873888826139,6.38974843510182
"Sugp2",6.95554741351732,7.09140683431677,7.27448847150698,7.53170370593882,7.10164980271039
"Ebi3",5.50513061456817,4.47818164432098,4.52775481488532,4.60618712427627,4.93793766677708
"Adgrg2",6.44654045795625,8.97395836968295,9.57781406882058,6.30877177796221,7.13605998091934
"Cdh17",4.19894775014249,4.23971535386619,4.42074890848767,4.14744180123943,4.14640976718402
"Mbnl2",6.00196760813694,6.71475964416059,6.92877734815978,6.47547965555299,6.65511663517301
"Abi2",6.92574377134119,7.39928326210069,7.46438250416982,7.33372902624217,7.19596421390741
"Cebpz",9.01236995659074,9.62491315073788,9.38687560399775,9.55547139540012,9.58845003411725
"Plxnc1",7.68495474537525,5.57227612740598,5.64220961875509,5.62667876348526,4.81800214400261
"Trim28",6.41323332198747,6.18555623596167,6.28640825003599,6.85478060460297,6.62044289002813
"Aass",5.57321216956288,6.67548974561176,6.57001209285151,6.15607821174581,6.70979190670483
"Pdzk1ip1",8.38279294949933,4.48723029829327,4.30663119855887,4.40232325794296,4.32376845329478
"Atp6ap2",10.8902797117331,10.9970309068911,10.9591536044541,10.8762615308675,10.5992140432897
"Cdh18",4.06877176357756,4.182292724274,4.14173488723354,4.08884176604026,3.90657693892764
"Farp1",6.8728706490273,7.91137017536624,7.99646706889029,8.10296152708269,7.2880838713879
"Lpar6",9.25001746667697,9.65675287975032,9.38803503198496,8.29564119025925,9.73285146772409
"Lpcat3",6.48578739355203,6.14689860026134,6.23979755617609,6.50839740920422,6.52120029801186
"Wasf2",9.08982416218316,8.97486749738513,8.83545797552305,8.61622194289602,9.05441869428176
"Chst4",5.0863559185531,4.60796692897553,5.20039259498819,4.83680270470367,4.65215516998204
"Slc25a13",6.28640825003599,7.10883743013937,6.81114385056339,6.81365271101325,6.61400937701765
"Slc25a15",5.45092642325167,5.40664715092006,5.41678493776817,5.63938622824866,5.1329472897823
"Znf197",4.7877981528424,5.24621951986649,5.21743276454772,4.84555388659512,5.3019006489952
"Cdk2",5.4375271265325,5.42000601491716,5.68084029549917,5.67612094670566,5.49167352648419
"Dhrs9",8.89085713325542,5.59194045615265,5.86695870549037,5.38411987500985,5.44122009331963
"Rcl1",6.39562559758705,6.4514404572742,6.31998363379992,6.2368864614467,6.23979755617609
"Sorbs3",6.11987893084727,6.27960521681255,6.28398216291663,6.10540857567711,6.48824426671228
"Cnih1",9.91828713399666,10.414674425424,10.5633920746657,10.2898457043028,10.1339478077663
"Tenm1",4.63891692097301,4.87179190273157,4.92653048232044,4.49490262289667,4.71107739486106
"Rbm7",7.32636147326072,7.31638731897779,7.32373859407435,7.15357847638625,7.56102243590857
"Rbm6",8.36771324441263,8.88395155410172,9.04970839509763,8.68712181427238,8.81954509637921
"Rbm5",9.20794426158499,8.90386526237364,9.08596714828744,8.78236914590053,8.70915922534579
"Lhfpl2",9.02815229337346,8.76768544656613,9.03654168261311,9.07730717418683,7.78352097325561
"Lhfpl6",9.67504206276437,11.6196993881599,11.811867892259,10.2127142704968,11.2798442333038
"Tnk2",4.86916947949543,4.96163135603997,4.94451482840023,4.99852339105931,5.09742944934036
"Cdk4",8.2054296066228,8.36361776332101,8.73781263773137,8.99030623888147,8.62839327453282
"Txndc9",9.19759176770591,9.65815950662886,9.72110483443046,9.52707390492997,9.31637136139489
"Rnf41",6.14641683568374,5.92910894536759,5.99284203981569,5.73569357029266,6.06110362751839
"Alg3",6.84322862210482,6.72819441699424,6.74266439530207,7.04643364346326,6.69834056428404
"Prmt3",6.81965365938101,7.41844099632483,7.47027509150624,7.2151391269902,7.20944208178884
"Psme3",6.82315732340882,6.64025249057693,6.68243883407502,6.94290467215171,6.87086455747904
"Mphosph9",4.66713073810862,5.02008913752198,5.21249360094097,5.03023094158521,4.95680351898813
"Mphosph10",7.68774122569778,8.67461517381173,8.49166023899029,8.47589565263118,8.21897991143835
"Adam10",8.01156247215423,7.73820074218217,7.66879274419623,7.29907813168656,7.20684712408533
"Cdk5",6.62689000185731,5.87650789950712,6.20200263152843,6.80813684645985,6.33313314078844
"Mphosph6",8.00612588458463,8.09302432036445,8.01581691649756,8.15124654921098,7.95453870024181
"Nme6",6.98035992029036,6.58136943592871,6.57840442034981,6.83218739901872,6.75563932796961
"Dhrs2",4.165468300181,3.89153623206877,4.04674662394672,4.04896537837346,4.12237899382705
"Calcrl",6.57544174992227,7.48046752881798,7.34057326645792,7.33688989931302,7.46920386999697
"Mpzl2",5.61353448450761,5.71912332799712,5.84646297346632,5.34839791312856,5.714869005665
"Trim13",7.09499581576148,7.78238152299919,7.72021786070705,7.41099554927681,7.51600963020789
"Patj",4.23182418636484,4.31330691146731,4.17058903957591,4.3142620409474,4.29272640867825
"Uspl1",7.72639260978021,8.11668572939219,8.00854218003119,7.70450266237457,7.94502488332036
"Eif1",11.1405217770718,11.1492879451648,11.1492879451648,11.4925408576676,11.4925408576676
"Cdk6",5.24351327953529,5.56899549263123,5.59522255991124,5.53771506492095,5.43983555033307
"Topors",8.4412019008959,8.14430087016538,7.90667713801686,7.54961835126839,7.90314700883432
"Flot1",9.38919846246335,8.73622014756111,8.79304681444913,8.91170023680054,9.34893825182601
"Ddx39a",7.89962305734714,7.8138283273885,8.09922370644128,8.54388818293439,8.21962870763045
"Psmd14",9.04970839509763,9.75809768164968,9.77771659198163,9.94710946135584,9.64142870166596
"Ssx3",4.88492912491227,4.58400530307492,4.49490262289667,4.66492766965659,4.21943808703532
"Olig2",4.29848835244352,4.01872602980756,4.14537307077156,4.25394226903357,4.02888082663447
"Prg4",10.2315786078679,8.97033095891845,8.75875604848207,9.79610933545201,7.10062703241463
"Ctdspl",7.78523402413877,7.94029481431202,7.84952159733607,7.04134046767889,7.48422944560329
"Angptl7",5.48703790680443,8.1874847939973,7.36537251018023,4.80662466738136,5.83597153408366
"Klrg1",5.55171229265625,5.58912773560499,5.64361944264714,5.10808351915069,5.27831407143336
"Cdk7",7.31586325279885,7.55721869282678,7.58118358012101,7.32846416655794,7.15976700899176
"Gdf11",4.63759790432412,5.06466078917795,5.32556368368447,5.06421628514909,5.13205647167664
"Trib1",5.84359554561843,5.45508997482911,5.49352850020832,5.62856109775546,5.77983054593279
"Gpa33",5.598039691441,5.19814972939115,5.37401633806598,5.18785236158988,5.43153228543092
"Cd96",5.08813235709517,3.98146938436244,4.33559574620929,4.41016646822429,4.41614915088416
"Plin3",9.34211822062434,8.80047376182617,8.59962615047651,9.96778969148519,8.46523565856945
"Mfsd10",7.35481287047283,7.2515359968825,7.15409234225246,7.45956344928958,7.36854263547267
"Stx6",6.84523979926636,6.90155003306322,6.87136708178565,6.67945717835889,6.602644836994
"Coq7",5.76416356672157,6.10589215115334,6.24028098989969,6.158009778775,6.00532780684373
"Nbr2",5.79122660179577,5.29735265653387,5.57086593855009,5.10986013174732,5.51164516371838
"Rcan2",7.01029303458995,9.22778884072945,8.85318900077571,8.77828106161245,9.02162844571192
"Msln",3.57817757543415,3.69912519109431,3.57686952712507,3.88008111114018,3.795827771379
"Lrrc23",5.21743276454772,4.93749822132722,5.39055573374249,5.22955077000674,5.48610924413661
"Lrrc17",6.58038004138201,9.79148586244789,10.3693832916627,9.10829199996966,8.73301758476293
"Rasgrp2",7.68885897734425,5.71817670681394,5.56572194858676,5.95114162274734,5.96455797496234
"Hnrnpr",9.62627806236248,10.159698980645,10.1319866200705,10.1697500200934,10.0299833820583
"Slc35b1",8.34663006614424,8.21058156092954,8.39864519193027,8.83882576770413,8.05175574070522
"Dcaf7",7.66103183260134,7.54907434186917,7.38443087449665,7.67826037880143,7.27501005061464
"Cdk8",6.23155415522566,6.85930782423914,6.92675639998929,6.62787861185335,6.52267544117529
"Mrps31",7.3923824140093,8.029775600669,7.80408872319459,7.72976303429131,7.96885720118737
"Calcoco2",9.05821136795259,8.83292639248283,8.7418190340406,8.33579866961954,8.83713850821894
"Kcnmb2",3.94316499141216,4.14795912129433,4.0461970543215,3.89405972244804,4.12711371498883
"Gphn",5.58023961498314,6.61846412125906,6.72520480606962,6.07891379529547,6.70282959386221
"Rabepk",7.73144854769474,7.37595672604824,7.47778084401961,7.44352027490138,7.46813275443326
"Timm17b",7.58337085277795,6.80012029713424,7.09140683431677,7.34900676494649,7.41897689819813
"Slc17a2",4.10596704536457,3.75896156792094,3.83927815274783,3.89026975240144,4.28888375463597
"Rida",7.10729852900217,7.72695291152555,7.73651635569559,7.39662777707522,8.36226069972917
"Pop7",7.86285318491729,7.85068211514008,7.84201505706626,8.60942351457917,8.15376678440262
"Glyat",4.84642879795759,4.79874667158852,5.11784615067037,4.23873076265915,6.72121886876586
"Cdk9",5.62057789230126,6.18120611942735,6.2262095156496,6.33897793245968,6.30244838517792
"Srrm1",9.00313937013507,9.48797502270178,9.31081776693275,9.03095332089949,9.33761031076762
"Spry1",7.92197257666631,8.87450140897302,8.81621696957429,8.029775600669,9.66097067384922
"Spry2",7.80924342365746,8.82873939045376,8.7131212521896,8.35681992407427,9.4657537090929
"Stam2",6.15318332212072,6.03753951296607,6.08325336230093,5.75086773966228,5.87364591925237
"Hcg9",4.99588447236387,4.94012901023786,4.68385223359104,4.82369186503199,4.86741961887522
"Cnksr1",4.82194357909729,4.67812950339013,4.66228816151824,5.3178205157876,4.96734619134032
"Abcc4",5.55357895844818,5.16237312087396,5.09698536315274,5.40204028638251,4.85254677166231
"Cdkn1a",9.21002855217957,8.45247458161753,8.21574405526333,9.65815950662886,8.52781746551715
"Dennd4a",6.53845041616574,6.74714617917052,6.79861688256419,6.32729002117038,6.34874410739934
"Igsf6",10.2336882552588,6.25482156218017,6.77411869905261,7.22759679023836,6.37461637984037
"Sf3b4",7.30747208252997,7.00368947035613,6.60659691690381,7.00013224486579,6.94038003585848
"Cdk2ap2",7.16287048158303,6.35264791346849,6.34483449677836,7.07708069214216,6.97276712786571
"Irx5",4.49580297461957,4.29560819526377,4.5742278985644,5.3923930052653,4.10384146709786
"Ramp2",5.52747083364639,5.75134428881889,5.81931431976757,5.40434029757864,6.30731504721635
"Ramp1",5.61541161396419,5.78030476024437,5.20845607644749,7.26822296772212,5.8798427583815
"Ramp3",7.54039133221908,7.332146219349,7.57736455843232,8.39173039203608,8.13800814514614
"Zmpste24",10.11445351431,10.7163438749425,10.7041378890602,10.3188652825106,10.1319866200705
"Cdkn1b",10.4590515539605,10.3717226201616,10.278878397598,9.88836255561827,10.159698980645
"Akap8",7.16648804094695,7.43389809867871,7.45956344928958,7.33583380483715,7.24580484811059
"Fstl3",6.62936124875944,6.6070903648591,6.38487287730676,7.15460818678597,6.96213388974778
"Stub1",8.44260579938868,8.80542892636389,8.99212816973516,9.76259832871452,9.73431617799854
"Stag1",7.88029451629944,8.93722386581485,8.8650828535184,8.28172869208595,8.46665422039538
"Net1",8.43979482861794,10.3369931047598,10.26579278512,8.66142296282001,9.89497239636772
"Ube4b",6.36778642764224,5.91380609526055,6.30196128796245,6.14545282343934,5.97989244337214
"Efs",6.29516053279344,7.10524957054464,7.27292384178431,6.88342968833645,7.28441504172384
"Prss16",4.46457603363202,4.04397067772604,4.17416184898567,4.12763920438427,4.2646772416416
"Cdkn1c",7.88204682416989,8.58762578858772,8.80708564863576,7.70673137133177,9.20379669313997
"Sigmar1",6.23543669552006,6.35802177747751,6.34288665235717,6.42596207349104,6.51282373299427
"Dscr4",4.77991173620889,4.73388403026989,4.86654142947239,4.78429419419516,4.71283139330281
"Bet1",7.93495791043701,8.53292286953124,8.44612582419942,7.8529904644058,8.19772760663189
"Sap18",8.40626206731292,8.75552434063359,8.66684691162907,8.47020632937237,8.74826328109143
"Smndc1",9.40678498268669,9.48301359586827,9.47683974220881,9.22149852544205,9.19965261807815
"Bcas2",8.40141372309573,8.67773836875281,8.71708441820216,8.56083277577375,8.57866381789914
"Rgs19",10.1576979549618,7.71684219554925,7.73313411743683,7.94029481431202,7.63667896903736
"Lilrb2",10.1125219429246,5.58351515339633,5.80788250925164,7.51277407106379,5.9707876001397
"Eif1b",10.9224804893839,10.4515747773828,10.4465782065697,10.4515747773828,10.3717226201616
"Cdkn2a",4.79174000516031,5.44122009331963,5.03508002625497,5.85695402091729,4.84424050546183
"Speg",5.10230948488058,5.25072793401836,5.12051179941492,5.36989792695743,5.38273870078794
"Sf3a1",8.36158095007901,7.76534645181395,7.79780068376702,7.67881900552202,7.81096289992251
"Traip",4.67989485530439,4.69264488170934,4.73344698157134,5.00292576380685,4.92302155540798
"Dnaja2",8.09612463137207,8.34663006614424,8.29697200718378,8.16389854311669,8.20929242372108
"Bckdk",7.49014846878538,6.96061679204084,7.10164980271039,7.62069414754611,7.33425500219969
"Maea",9.64977104465161,8.38760172798495,8.66607194696566,9.00313937013507,8.64676481526633
"Apc2",5.33605515844292,5.23180554840273,4.99457029005592,5.09388532524256,5.20442440741704
"Pak4",6.89147816182017,6.39024009551284,6.5187354704217,6.60659691690381,6.4966052886769
"March6",8.86763788828964,9.2564080056733,9.0620180680411,9.1024338633411,9.27576581433871
"Adar",11.4454211119963,10.5445107463827,10.5258968232377,10.2964933129029,10.4946357138321
"Cdkn2b",5.01040821566216,5.16952273601722,5.02228942762857,5.12139948659752,5.23225809467962
"Katnb1",6.59670119904847,5.76178897595488,5.78648656567353,6.18410557707961,6.00148778483187
"Dleu1",6.39807442214765,6.27765734480319,6.24900331530507,6.10974722725133,5.96263994042234
"Snapc5",4.41706809260862,4.14277876272623,4.16290573002603,4.33086537446992,5.01261259983409
"Apbb3",6.51380688142168,6.43282326275231,6.21361301797826,6.32874949765466,6.32777833219743
"Znf267",9.43296359019422,8.05972751464929,7.83107220582141,7.78523402413877,7.23851436381888
"Ccno",4.71897329865703,4.55773662076371,4.66713073810862,4.8963130843226,4.48044020612478
"Cdkn2c",7.02707275794839,7.71515152229953,7.81153672975103,6.61994870796515,8.80542892636389
"Vps26c",6.59176278237799,6.14159146188271,6.15897972696697,6.01541622261324,6.01397430375247
"Tcirg1",10.4317498782282,8.48018535213948,8.34527100357124,9.4377867289736,8.7628071711077
"Rtn3",11.4282649884775,10.4972090831565,10.4843768936157,10.0575491471658,11.1405217770718
"Lancl1",7.96289582837729,8.954147489784,8.86339216252481,8.13047248168528,9.00038417875722
"Nmur1",4.79787121050055,4.78736167505064,4.69704073388909,4.78166302768187,4.60574662522099
"B3galt5",3.947352702549,4.09903593403991,4.1323465419808,4.0158955733134,3.9286942641245
