,B cell,Basophil,Dendritic cell,Macrophage,Monocyte,Neutrophil,NK cell,T cell
Tal1,0.67473445,1.950591407,0,2.639623256,0,2.554688617,0,0.672173497
Tarm1,2.528677173,2.750747772,0,2.243949544,0,5.487957584,0,1.988178969
Tcf7,5.000349448,1.950591407,4.378648964,4.681655992,0,3.96589682,6.339850003,8.110462011
Tgtp2,3.879212422,0,4.940306328,5.050393673,3.590928168,3.007599816,4.57634937,5.684961874
Themis,2.670551745,1.950591407,0,3.20495853,0,2.087554782,3.635588574,5.390583598
Tlr13,3.397918859,0,0,6.51465067,6.072499069,5.505267501,2.74723393,2.189296669
Tlr5,0,0,3.446387271,0.805196814,0,0,0,0
Tnfrsf13c,6.782977703,0,3.446387271,3.995274938,2.705947362,3.807466564,4.886132035,3.617764461
Tnfrsf18,4.284320945,4.743513116,5.343548546,2.803035473,0,4.153243231,6.339850003,6.113726711
Tnip3,0,0,3.446387271,2.639623256,0,1.392391852,0,1.128916028
Xlr4b,4.767513306,1.950591407,4.378648964,3.853288573,4.135418769,2.415135187,2.74723393,5.390583598
Zap70,4.19320281,1.950591407,0,3.776686282,0,3.007599816,6.288042101,6.602029718
9830107B12Rik,0,6.292117236,3.446387271,2.803035473,2.705947362,5.841420387,0,1.128916028
A530030E21Rik,5.128840518,0,3.446387271,3.20495853,0,1.05895621,3.934112064,2.189296669
A930002I21Rik,0,0,0,0.805196814,0,0,0,2.189296669
Arhgef37,0.67473445,0,0,3.20495853,0,0,1.94753258,0.672173497
Camp,3.624072288,15.77316497,5.343548546,7.167421896,4.529786441,14.04678953,0,3.021774938
Cd40lg,0.67473445,0,0,0,0,0.624533109,1.94753258,1.475300456
Cebpe,3.879212422,10.16020735,0,6.242953335,6.568680502,8.448408299,3.635588574,1.754411758
Gfi1b,1.759246053,1.950591407,0,0.805196814,3.590928168,1.392391852,0,0
Gm13814,1.132646488,0,0,1.318905839,0,0,0,0
Gm16194,0,2.750747772,0,0,0,0.624533109,0,0
Gm43291,6.508456245,2.750747772,3.446387271,3.518960354,0,2.554688617,4.181329765,3.021774938
Ngp,4.564348353,16.1022745,0,5.995038279,3.590928168,14.66546771,4.57634937,4.089476021
