"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Retnlg",0,0,0,0,0,8.59598853868195,187.845303867403,10774.6478873239
"Rgs18",0,0,0,0,0,74.4985673352435,38.6740331491713,53.0877573131094
"Sh2d1a",0,0,0,0,0,0,0,3.25027085590466
"Sh2d2a",0,0,0,0,35.7142857142857,0,5.52486187845304,8.12567713976165
"Siglecf",0,0,0,0,0,8.59598853868195,11.0497237569061,18.4182015167931
"Skint3",0,0,0,0,0,0,5.52486187845304,3.25027085590466
"Slamf8",0,0,15.625,0,0,2.86532951289398,16.5745856353591,1.62513542795233
"Spib",2.3696682464455,0,0,76.9230769230769,0,17.1919770773639,33.1491712707182,31.4192849404117
"Tal1",0,0,0,0,0,2.86532951289398,0,4.87540628385699
"Tarm1",0,0,0,0,0,5.73065902578797,0,43.8786565547129
"Tcf7",2.3696682464455,0,0,0,0,2.86532951289398,0,14.626218851571
"Tgtp2",0,0,0,0,0,0,11.0497237569061,7.04225352112676
"Themis",0,0,0,0,35.7142857142857,2.86532951289398,0,3.25027085590466
"Tlr13",0,0,15.625,0,0,0,66.2983425414365,44.4203683640303
"Tnfrsf13c",4.739336492891,0,0,0,0,0,5.52486187845304,13.0010834236186
"Tnfrsf18",4.739336492891,0,0,0,35.7142857142857,25.7879656160458,0,16.7930660888407
"Tnip3",0,0,0,0,0,0,0,1.62513542795233
"Trac",2.3696682464455,20.4081632653061,0,0,321.428571428571,0,0,36.8364030335861
"Xlr4b",7.10900473933649,0,0,0,35.7142857142857,2.86532951289398,16.5745856353591,4.33369447453954
"Zap70",0,0,0,0,0,2.86532951289398,0,7.04225352112676
"9830107B12Rik",0,0,0,0,0,77.3638968481375,5.52486187845304,56.3380281690141
"A530030E21Rik",2.3696682464455,0,0,0,0,0,0,1.08342361863489
"Camp",0,0,0,0,0,56000,22.0994475138122,16923.0769230769
"Cd40lg",0,0,0,0,71.4285714285714,0,0,0.541711809317443
"Cebpe",0,0,0,0,0,1143.2664756447,93.9226519337017,348.320693391116
"Gfi1b",0,0,0,0,0,2.86532951289398,11.0497237569061,1.62513542795233
"Gm16194",0,0,0,0,0,5.73065902578797,0,0.541711809317443
"Gm43291",33.175355450237,0,0,0,0,5.73065902578797,0,4.87540628385699
"Ngp",2.3696682464455,0,0,0,0,70349.5702005731,11.0497237569061,25985.3737811484
"Pax5",0,0,0,0,0,0,11.0497237569061,11.3759479956663
"Prg2",42.654028436019,0,0,0,0,57.3065902578797,38.6740331491713,646.26218851571
"Ccr6",0,0,0,0,0,0,0,0.541711809317443
"Clec4a4",0,0,0,0,0,0,5.52486187845304,1.08342361863489
"Ear6",0,0,0,0,0,5.73065902578797,11.0497237569061,133.802816901408
"Epx",0,0,0,0,0,2.86532951289398,16.5745856353591,90.465872156013
"Tmigd3",0,0,0,0,0,0,0,1.08342361863489
"Muc6",0,0,0,0,0,0,0,1.08342361863489
"Gm6209",0,0,0,0,0,0,0,0.541711809317443
