"","B cell","Dendritic cell","Eosinophils","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",0.417014178482068,0,0,0.57454754380925,0,0.74482347683599,21.2765957446809,0,0
"A630023P12Rik",0,0,0,0.287273771904625,0,0.148964695367198,0,0,0
"AI839979",41.7014178482068,0,1.64744645799012,5.45820166618788,26.1627906976744,16.535081185759,0,0,42.9799426934097
"Adgre1",15.0125104253545,47.6190476190476,3.29489291598023,9.62367135880494,29.0697674418605,4.61790555638314,0,0,5.73065902578797
"Alox15",0,0,0,0.287273771904625,0,9.98063458960226,0,0,0
"Blk",4.17014178482068,0,0,0.57454754380925,0,0.595858781468792,0,0,2.86532951289398
"Bmx",10.8423686405338,0,0,2.72910083309394,0,7.0013406822583,0,0,22.9226361031519
"Btla",13.3444537114262,142.857142857143,0,2.72910083309394,8.72093023255814,1.78757634440638,0,0,2.86532951289398
"C1rl",24.603836530442,0,6.58978583196046,30.4510198218903,20.3488372093023,32.4743035900492,0,0,65.9025787965616
"Ccl4",144.286905754796,301.587301587302,56.0131795716639,112.611318586613,14.5348837209302,187.248622076568,361.702127659575,52.6315789473684,189.111747851003
"Ccl5",28.3569641367807,650.793650793651,8.23723228995058,34.7601264004596,20.3488372093023,35.0067034112915,9723.40425531915,3684.21052631579,42.9799426934097
"Ccr3",2.91909924937448,0,0,2.01091640333238,0,3.87308207954715,0,0,2.86532951289398
"Ccr7",0.834028356964137,111.111111111111,0,0.861821315713875,0,0.595858781468792,0,0,2.86532951289398
"Cd177",69.6413678065054,0,79.0774299835255,74.9784544671072,93.0232558139535,479.219424996276,42.5531914893617,52.6315789473684,1355.30085959885
"Cd19",19.1826522101751,0,3.29489291598023,2.15455328928469,0,2.97929390734396,21.2765957446809,0,5.73065902578797
"Cd200r3",0.834028356964137,0,3.29489291598023,2.58546394714163,0,33.9639505437211,0,0,45.8452722063037
"Cd200r4",0.834028356964137,0,1.64744645799012,1.1490950876185,0,1.48964695367198,21.2765957446809,0,8.59598853868195
"Cd22",3.75312760633862,0,0,0.57454754380925,0,0.74482347683599,0,0,0
"Cd27",93.8281901584654,0,19.7693574958814,102.987647227808,20.3488372093023,17.279904662595,255.31914893617,157.894736842105,14.3266475644699
"Cd300ld",0.417014178482068,0,0,3.30364837690319,2.90697674418605,5.36272903321913,0,0,14.3266475644699
"Cd3d",2.91909924937448,0,8.23723228995058,3.73455903476013,0,5.21376433785193,191.489361702128,421.052631578947,8.59598853868195
"Cd3e",0,0,0,0,0,0.148964695367198,21.2765957446809,52.6315789473684,0
"Cd3g",0.417014178482068,0,0,0.57454754380925,5.81395348837209,0.297929390734396,85.1063829787234,210.526315789474,14.3266475644699
"Cd4",0.834028356964137,15.8730158730159,0,2.298190175237,0,0.595858781468792,0,0,0
"Cd40",0.834028356964137,15.8730158730159,1.64744645799012,0.430910657856938,2.90697674418605,0,0,0,0
"Cd5",0,0,0,0.287273771904625,0,0.148964695367198,0,0,0
"Cd6",1.25104253544621,0,0,2.01091640333238,0,0.148964695367198,0,0,0
"Cd7",3.75312760633862,158.730158730159,3.29489291598023,2.72910083309394,23.2558139534884,5.66065842395352,1042.55319148936,473.684210526316,31.5186246418338
"Cd79a",74.2285237698082,31.7460317460317,8.23723228995058,8.33093938523413,14.5348837209302,15.9392224042902,0,105.263157894737,34.3839541547278
"Cd79b",155.129274395329,79.3650793650794,21.4168039538715,87.762137316863,63.953488372093,55.5638313719648,85.1063829787234,0,25.7879656160458
"Cd83",2.91909924937448,95.2380952380952,4.94233937397035,4.45274346452169,0,2.08550573514077,0,0,0
"Cd8a",0,0,0,0.143636885952313,0,0.148964695367198,0,0,0
"Cd8b1",1.25104253544621,15.8730158730159,0,0.143636885952313,0,0,0,0,5.73065902578797
"Clec4a3",5.42118432026689,95.2380952380952,6.58978583196046,8.47457627118644,14.5348837209302,4.02204677491434,0,0,2.86532951289398
"Clec4e",29.1909924937448,15.8730158730159,21.4168039538715,58.0293019247343,17.4418604651163,48.2645612989721,0,0,71.6332378223496
"Clec5a",86.7389491242702,0,21.4168039538715,105.860384946854,43.6046511627907,132.131684790705,21.2765957446809,0,169.054441260745
"Cma1",0.417014178482068,0,0,0,0,0.297929390734396,0,0,0
"Ctsw",2.91909924937448,0,4.94233937397035,5.31456478023556,2.90697674418605,5.51169372858632,510.63829787234,315.789473684211,0
"Cxcl2",2.08507089241034,0,6.58978583196046,7.90002872737719,0,27.7074333382988,21.2765957446809,0,11.4613180515759
